UR        |DESCRIPCION
316       |DIRECCION GENERAL DE EPIDEMIOLOGIA
AYK       |SEC TEC DEL CON NAL PARA LAS PERSONAS CON DISCAPACIDAD
NCE       |INSTITUTO DE GERIATRIA
M7A       |HOSPITAL REGIONAL DE ALTA ESPECIALIDAD - CHIAPAS
NBQ       |HOSPITAL REGIONAL DE ALTA ESPECIALIDAD - BAJIO
NBR       |HOSPITAL REGIONAL DE ALTA ESPECIALIDAD - OAXACA
NBS       |HOSPITAL REGIONAL DE ALTA ESPECIALIDAD - YUCATAN
615       |
NBU       |HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE IXTAPALUCA
100       |OFICINA DEL C. SECRETARIO
111       |COORDINACION GENERAL DE ASUNTOS JURIDICOS Y DERECHOS HUMANOS
112       |DIRECCION GENERAL DE COMUNICACION SOCIAL
113       |ORGANO INTERNO DE CONTROL
114       |UNIDAD DE ANALISIS ECONOMICO
160       |COMISION COORDINADORA DE LOS INSTITUTOS NACIONALES DE SALUD Y HOSPITA
170       |UNIDAD COORDINADORA DE VINCULACION Y PARTICIPACION SOCIAL
171       |SECRETARIADO TECNICO DEL CONSEJO NACIONAL DE SALUD
172       |DIRECCION GENERAL DE RELACIONES INTERNACIONALES
300       |SUBSECRETARIA DE PREVENCION Y PROMOCION DE LA SALUD
310       |DIRECCION GENERAL DE PROMOCION DE LA SALUD
312       |SECRETARIADO TECNICO DEL CONSEJO NACIONAL CONTRA LAS ADICCIONES
313       |SECRETARIADO TECNICO DEL CONSEJO NACIONAL DE SALUD MENTAL
314       |SECRETARIADO TECNICO DEL CONSEJO NACIONAL PARA LAS PERSONAS CON DISCA
315       |CENTRO NACIONAL PARA LA PREVENCION DE ACCIDENTES
416       |UNIDAD ADMINISTRATIVA DE ENTIDADES FEDERATIVAS
500       |SUBSECRETARIA DE ADMINISTRACION Y FINANZAS
510       |DIRECCION GENERAL. DE PROGRAMACION, ORGANIZACION Y PRESUPUESTO
511       |DIRECCION GENERAL DE TECNOLOGIAS DE LA INFORMACION
512       |DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES
513       |DIRECCION GENERAL DE RECURSOS HUMANOS
514       |DIRECCION GENERAL DE DESARROLLO DE LA INFRAESTRUCTURA FISICA
