CvLaboral_Id|CvCtPais_Id|CvCtSueldo_id|CvCtExperiecia_Id|CvCtContrato_Id|CvCtSector_Id|CvDatosPersonales_Id|CvLaborales_EntidadFederativa|CvLaboral_Empresa|CvLaboral_Puesto|CvLaboral_Del|CvLaboral_Al
3092|1|3|52|1|1|7531|CIUDAD DE MÉXICO|SSA|APOYO ADMINISTRATIVO EN SALUD|1997-10-16|2016-06-16
3093|1|7|13|1|2|5895|CIUDAD DE MÉXICO|DELOITTE CONSULTING GROUP S.C.|SENIOR CONSULTANT|2007-09-01|2013-03-01
3095|1|7|13|1|2|5895|CIUDAD DE MÉXICO|INFOTEC|LIDER DE PROYECTO|2005-09-01|2006-04-01
3096|1|7|13|1|2|5895|CIUDAD DE MÉXICO|SOFTTEK|LIDER DE PROYECTO|2006-04-01|2007-09-01
3097|1|7|13|1|2|5895|CIUDAD DE MÉXICO|XPERTIA|LIDER DE PROYECTO|2005-04-01|2006-04-01
3098|1|5|13|1|2|5895|CIUDAD DE MÉXICO|GETRONICS|HELP DESK ANALYST|2004-07-01|2005-04-01
3099|1|8|41|1|2|5895|CIUDAD DE MÉXICO|METLIFE MEXICO|GERENTE DE DESARROLLO DE SISTEMAS INDIVIDUALES|2002-12-01|2003-12-01
3100|1|8|41|1|1|5895|HIDALGO|ASEGURADORA HIDALGO, S.A.|EXPERTO FUNCIONARIO|1996-01-01|2002-12-01
3102|1|2|2|1|1|5895|CIUDAD DE MÉXICO|SECRETARIA DE HACIENDA Y CREDITO PUBLICO|ANALISTA DE SISTEMAS|1984-01-01|1987-01-01
3104|1|5|46|1|1|5895|CIUDAD DE MÉXICO|NACIONAL FINANCIERA|EXPERTO REGIONAL|1989-01-01|1996-01-01
3106|1|5|16|3|1|9025|CIUDAD DE MÉXICO|HOSPITAL PEDIATRIZO IZTAPALAPA|MEDICO ESPECIALISTA B|2013-04-15|2016-07-15
3107|1|3|52|3|1|5635|CIUDAD DE MÉXICO|Instituto Nacional de Ciencias Médicas y Nutrición|Ingeniero Biomédico|2004-04-16|2006-11-30
3108|1|2|1|3|1|5635|CIUDAD DE MÉXICO|Unidad Profesional Interdisciplinaria de Biotecnología|Profesor academia de bioelectrónica|2005-08-01|2006-07-15
3109|1|5|52|2|1|5635|CIUDAD DE MÉXICO|Centro Nacional de Excelencia Tecnológica en Salud|Jefe de Departamento de Ingeniería Clínica|2006-12-01|2010-01-31
3110|1|7|52|2|1|5635|CIUDAD DE MÉXICO|Centro Nacional de Excelencia Tecnológica en Salud|Director de Ingeniería Biomédica|2010-02-01|2012-02-28
